"WARDS_ID","WARDS_NAME","DISTRICT_ID"
486,"PHƯỜNG NAM ĐỒNG",24
487,"PHƯỜNG PHƯƠNG LIÊN",24
488,"PHƯỜNG VĂN MIẾU",24
489,"PHƯỜNG QUANG TRUNG",24
490,"PHƯỜNG PHÚ ĐÔ",25
491,"PHƯỜNG MỸ ĐÌNH I",25
492,"PHƯỜNG PHƯƠNG CANH",25
493,"PHƯỜNG CẦU DIỄN",25
494,"PHƯỜNG MỸ ĐÌNH II",25
495,"PHƯỜNG XUÂN PHƯƠNG",25
496,"PHƯỜNG MỄ TRÌ",25
497,"PHƯỜNG TRUNG VĂN",25
498,"PHƯỜNG ĐẠI MỖ",25
499,"PHƯỜNG TÂY MỖ",25
500,"PHƯỜNG XUÂN ĐỈNH",26
501,"PHƯỜNG CỔ NHUẾ 1",26
502,"PHƯỜNG THƯỢNG CÁT",26
503,"PHƯỜNG TÂY TỰU",26
504,"PHƯỜNG PHÚC DIỄN",26
505,"PHƯỜNG PHÚ DIỄN",26
506,"PHƯỜNG LIÊN MẠC",26
507,"PHƯỜNG MINH KHAI",26
508,"PHƯỜNG THỤY PHƯƠNG",26
509,"PHƯỜNG ĐỨC THẮNG",26
510,"PHƯỜNG ĐÔNG NGẠC",26
511,"PHƯỜNG CỔ NHUẾ 2",26
512,"PHƯỜNG XUÂN TẢO",26
513,"XÃ QUANG LÃNG",27
514,"XÃ TÂN DÂN",27
515,"XÃ SƠN HÀ",27
516,"XÃ PHÚC TIẾN",27
517,"XÃ PHÚ YÊN",27
518,"XÃ HỒNG THÁI",27
519,"XÃ KHAI THÁI",27
520,"XÃ VĂN NHÂN",27
521,"XÃ TRI THỦY",27
522,"XÃ MINH TÂN",27
523,"XÃ HỒNG MINH",27
524,"XÃ PHƯỢNG DỰC",27
525,"XÃ ĐẠI THẮNG",27
526,"XÃ TRI TRUNG",27
527,"XÃ VĂN HOÀNG",27
528,"XÃ PHÚ TÚC",27
529,"XÃ QUANG TRUNG",27
530,"XÃ NAM TRIỀU",27
531,"XÃ VÂN TỪ",27
532,"XÃ CHÂU CAN",27
533,"XÃ BẠCH HẠ",27
534,"XÃ HOÀNG LONG",27
535,"XÃ CHUYÊN MỸ",27
536,"XÃ ĐẠI XUYÊN",27
537,"XÃ THỤY PHÚ",27
538,"XÃ NAM PHONG",27
539,"THỊ TRẤN PHÚ MINH",27
540,"THỊ TRẤN PHÚ XUYÊN",27
541,"XÃ VÂN NỘI",28
542,"XÃ UY NỖ",28
543,"XÃ LIÊN HÀ",28
544,"XÃ KIM CHUNG",28
545,"XÃ MAI LÂM",28
546,"XÃ XUÂN CANH",28
547,"XÃ ĐÔNG HỘI",28
548,"XÃ KIM NỖ",28
549,"XÃ DỤC TÚ",28
550,"XÃ VÕNG LA",28
551,"XÃ HẢI BỐI",28
552,"XÃ NGUYÊN KHÊ",28
553,"THỊ TRẤN ĐÔNG ANH",28
554,"XÃ  XUÂN NỘN",28
555,"XÃ BẮC HỒNG",28
556,"XÃ TÀM XÁ",28
557,"XÃ VIỆT HÙNG",28
558,"XÃ TIÊN DƯƠNG",28
559,"XÃ VÂN HÀ",28
560,"XÃ VĨNH NGỌC",28
561,"XÃ ĐẠI MẠCH",28
562,"XÃ NAM HỒNG",28
563,"XÃ CỔ LOA",28
228,"XÃ TIỀN PHONG",11
229,"XÃ ĐẠI THỊNH",11
230,"XÃ MAI LÂM",11
231,"XÃ TIẾN THỊNH",11
232,"XÃ TIẾN THẮNG",11
233,"XÃ TRÁNG VIỆT",11
234,"XÃ VĂN KHÊ",11
235,"XÃ HOÀNG KIM",11
236,"XÃ CHU PHAN",11
237,"XÃ TAM ĐÔNG",11
238,"XÃ THẠCH ĐÀ",11
239,"XÃ LIÊN MẠC",11
240,"XÃ THỤY LÂM",11
241,"XÃ TỰ LẬP",11
242,"XÃ KIM HOA",11
243,"XÃ VẠN YÊN",11
244,"THỊ TRẤN QUANG MINH",11
245,"THỊ TRẤN CHI ĐÔNG",11
246,"XÃ THANH LÂM",11
247,"XÃ MÊ LINH",11
248,"XÃ TÂN TRIỀU",12
249,"XÃ NGỌC HỒI",12
250,"XÃ NGŨ HIỆP",12
251,"XÃ TAM HIỆP",12
252,"XÃ TỨ HIỆP",12
253,"TT VĂN ĐIỂN",12
254,"XÃ VĨNH QUỲNH",12
255,"XÃ ĐẠI ÁNG",12
256,"XÃ LIÊN NINH",12
257,"THANH TRÌ",12
258,"XÃ THANH LIỆT",12
259,"XÃ HỮU HÒA",12
260,"XÃ YÊN MỸ",12
261,"XÃ DUYÊN HÀ",12
262,"XÃ VẠN PHÚC",12
263,"XÃ TẢ THANH OAI",12
264,"XÃ ĐÔNG MỸ",12
265,"XÃ CAO THÀNH",13
266,"XÃ ĐẠI CƯỜNG",13
267,"XÃ ĐẠI HÙNG",13
268,"XÃ ĐỘI BÌNH",13
269,"XÃ ĐÔNG LỖ",13
270,"XÃ ĐỒNG TÂN",13
271,"XÃ HÒA LÂM",13
272,"XÃ HÒA PHÚ",13
273,"XÃ HÒA XÁ",13
274,"XÃ TRUNG TÚ",13
275,"XÃ TRƯỜNG THỊNH",13
276,"XÃ VIÊN AN",13
277,"THỊ TRẤN VÂN ĐÌNH",13
278,"XÃ ĐỒNG TIẾN",13
279,"XÃ HOA SƠN",13
280,"XÃ HÒA NAM",13
281,"XÃ HỒNG QUANG",13
282,"XÃ KIM ĐƯỜNG",13
283,"XÃ LIÊN BẠT",13
284,"XÃ LƯU HOÀNG",13
285,"XÃ MINH ĐỨC",13
286,"XÃ PHÙ LƯU",13
287,"XÃ PHƯƠNG TÚ",13
288,"XÃ QUẢNG PHÚ CẦU",13
289,"XÃ SƠN CÔNG",13
290,"XÃ TẢO DƯƠNG VĂN",13
291,"XÃ TRẦM LỘNG",13
292,"XÃ VẠN THÁI",13
293,"XÃ VIÊN NỘI",13
294,"XÃ TÂN PHƯƠNG",13
295,"PHƯỜNG NGHĨA ĐÔ",14
296,"PHƯỜNG NGHĨA TÂN",14
297,"PHƯỜNG DỊCH VỌNG HẬU",14
298,"PHƯỜNG DỊCH VỌNG",14
299,"PHƯỜNG QUAN HOA",14
300,"PHƯỜNG YÊN HÒA",14
301,"PHƯỜNG TRUNG HÒA",14
302,"PHƯỜNG MAI DỊCH",14
303,"XÃ TAM THUẤN",15
304,"XÃ THANH ĐA",15
305,"XÃ  LIÊN HIỆP",15
306,"XÃ  THỌ LỘC",15
307,"THỊ TRẤN PHÚC THỌ",15
308,"XÃ PHÚC HÒA",15
309,"XÃ TRẠCH MỸ LỘC",15
310,"XÃ TÍCH GIANG",15
311,"XÃ SEN CHIỂU",15
312,"XÃ PHƯƠNG ĐỘ",15
313,"XÃ CẨM ĐÌNH",15
314,"XÃ VÕNG XUYÊN",15
315,"XÃ LONG XUYÊN",15
316,"XÃ THƯỢNG CỐC",15
317,"XÃ XUÂN PHÚ",15
318,"XÃ VÂN PHÚC",15
319,"XÃ  VÂN NAM",15
320,"XÃ VÂN HÀ",15
321,"XÃ  HÁT MÔN",15
322,"XÃ HIỆP THUẬN",15
323,"XÃ TAM HIỆP",15
324,"XÃ NGỌC TẢO",15
325,"XÃ PHỤNG THƯỢNG",15
326,"XÃ HÁT MÔN",15
327,"XÃ THỌ LỘC",15
328,"XÃ BÍCH HÒA",16
329,"XÃ CỰ KHÊ",16
330,"XÃ BÌNH MINH",16
331,"XÃ THANH MAI",16
332,"XÃ THANH THÙY",16
333,"XÃ KIM THƯ",16
334,"XÃ LIÊN CHÂU",16
335,"XÃ XUÂN DƯƠNG",16
336,"THỊ TRẤN KIM BÀI",16
337,"XÃ KIM AN",16
338,"XÃ CAO DƯƠNG",16
339,"XÃ DÂN HÒA",16
340,"XÃ TÂN ƯỚC",16
341,"XÃ CAO VIÊN",16
342,"XÃ MỸ HƯNG",16
343,"XÃ TAM HƯNG",16
344,"XÃ THANH CAO",16
345,"XÃ THANH VĂN",16
346,"XÃ ĐỖ ĐỘNG",16
347,"XÃ PHƯƠNG TRUNG",16
348,"XÃ HỒNG DƯƠNG",16
349,"XÃ AN MỸ",17
350,"XÃ BỘT XUYÊN",17
351,"XÃ PHÚC LÂM",17
352,"XÃ AN PHÚ",17
353,"XÃ HỢP THANH",17
354,"XÃ MỸ THÀNH",17
355,"XÃ ĐỒNG TÂM",17
356,"XÃ HƯƠNG SƠN",17
357,"XÃ ĐỐC TÍN",17
358,"XÃ VẠN KIM",17
359,"XÃ HÙNG TIẾN",17
360,"XÃ AN TIẾN",17
361,"XÃ ĐẠI HƯNG",17
362,"XÃ HỢP TIẾN",17
363,"XÃ PHÙ LƯU TẾ",17
364,"XÃ PHÙNG XÁ",17
365,"XÃ XUY XÁ",17
366,"XÃ LÊ THANH",17
367,"XÃ HỒNG SƠN",17
368,"XÃ TUY LAI",17
369,"XÃ THƯỢNG LÂM",17
370,"THỊ TRẤN ĐẠI NGHĨA",17
371,"PHƯỜNG NGÔ QUYỀN",18
372,"XÃ ĐƯỜNG LÂM",18
373,"PHƯỜNG XUÂN KHANH",18
374,"XÃ CỔ ĐÔNG",18
375,"XÃ XUÂN SƠN",18
376,"PHƯỜNG LÊ LỢI",18
377,"PHƯỜNG SƠN LỘC",18
378,"PHƯỜNG QUANG TRUNG",18
379,"PHƯỜNG PHÚ THỊNH",18
380,"PHƯỜNG TRUNG HƯNG",18
381,"PHƯỜNG VIÊN SƠN",18
382,"PHƯỜNG TRUNG SƠN TRẦM",18
383,"XÃ KIM SƠN",18
384,"XÃ SƠN ĐỒNG",18
385,"XÃ THANH MỸ",18
386,"XÃ SƠN ĐÔNG",18
387,"XÃ VÕNG XUYÊN",18
388,"XÃ THỌ LỘC",18
389,"XÃ HẠ MỖ",19
390,"XÃ LIÊN HÀ",19
391,"XÃ LIÊN TRUNG",19
392,"XÃ TÂN HỘI",19
393,"XÃ TÂN LẬP",19
394,"THỊ TRẤN PHÙNG",19
395,"XÃ PHƯƠNG ĐÌNH",19
396,"XÃ THƯỢNG MỖ",19
397,"XÃ TRUNG CHÂU",19
398,"XÃ THỌ AN",19
399,"XÃ THỌ XUÂN",19
400,"XÃ ĐAN PHƯỢNG",19
401,"XÃ ĐỒNG THÁP",19
402,"XÃ HỒNG HÀ",19
403,"XÃ LIÊN HỒNG",19
404,"XÃ SONG PHƯỢNG",19
405,"PHƯỜNG THẠCH BÀN",20
406,"PHƯỜNG PHÚC ĐỒNG",20
407,"PHƯỜNG PHÚC LỢI",20
408,"PHƯỜNG NGỌC THỤY",20
409,"PHƯỜNG BỒ ĐỀ",20
410,"PHƯỜNG LONG BIÊN",20
411,"PHƯỜNG NGỌC LÂM",20
412,"PHƯỜNG ĐỨC GIANG",20
413,"PHƯỜNG PHÚ VIÊN",20
414,"PHƯỜNG SÀI ĐỒNG",20
415,"PHƯỜNG GIA THỤY",20
416,"PHƯỜNG THƯỢNG THANH",20
417,"PHƯỜNG VIỆT HƯNG",20
418,"PHƯỜNG GIANG BIÊN",20
419,"PHƯỜNG CỰ KHỐI",20
420,"XÃ ĐỒNG QUANG",21
421,"XÃ TÂN PHÚ",21
422,"XÃ ĐÔNG XUÂN",21
423,"THỊ TRẤN QUỐC OAI",21
424,"XÃ SÀI SƠN",21
425,"XÃ PHƯỢNG CÁCH",21
426,"XÃ YÊN SƠN",21
427,"XÃ THẠCH THÁN",21
428,"XÃ NGỌC MỸ",21
429,"XÃ NGHĨA HƯƠNG",21
430,"XÃ CẤN HỮU",21
431,"XÃ NGỌC LIỆP",21
432,"XÃ LIỆP TUYẾT",21
433,"XÃ TUYẾT NGHĨA",21
434,"XÃ ĐÔNG YÊN",21
435,"XÃ HÒA THẠCH",21
436,"XÃ PHÚ CÁT",21
437,"XÃ PHÚ MÃN",21
438,"XÃ CỘNG HÒA",21
439,"XÃ ĐẠI THÀNH",21
440,"XÃ TÂN HÒA",21
441,"PHƯỜNG NGỌC KHÁNH",22
442,"PHƯỜNG KIM MÃ",22
443,"PHƯỜNG ĐỘI CẤN",22
444,"PHƯỜNG GIẢNG VÕ",22
445,"PHƯỜNG NGỌC HÀ",22
446,"PHƯỜNG ĐIỆN BIÊN",22
447,"PHƯỜNG CỐNG VỊ",22
448,"PHƯỜNG NGUYỄN TRUNG TRỰC",22
449,"PHƯỜNG PHÚC XÁ",22
450,"PHƯỜNG QUÁN THÁNH",22
451,"PHƯỜNG TRÚC BẠCH",22
452,"PHƯỜNG LÁNG HẠ",22
453,"PHƯỜNG THÀNH CÔNG",22
454,"PHƯỜNG LIỄU GIAI",22
1,"PHƯỜNG HÀNG BUỒM",1
2,"PHƯỜNG HÀNG ĐÀO",1
3,"PHƯỜNG HÀNG GAI",1
4,"PHƯỜNG HÀNG MÃ",1
5,"PHƯỜNG LÝ THÁI TỔ",1
6,"PHƯỜNG PHÚC TÂN",1
7,"PHƯỜNG HÀNG BÀI",1
8,"PHƯỜNG HÀNG BÔNG",1
9,"PHƯỜNG TRÀNG TIỀN",1
10,"PHƯỜNG PHAN CHU TRINH",1
11,"PHƯỜNG CHƯƠNG DƯƠNG ĐỘ",1
12,"PHƯỜNG CỬA NAM",1
13,"PHƯỜNG TRẦN HƯNG ĐẠO",1
14,"PHƯỜNG CỬA ĐÔNG",1
15,"PHƯỜNG ĐỒNG XUÂN",1
16,"PHƯỜNG HÀNG BẠC",1
17,"PHƯỜNG HÀNG BỒ",1
18,"PHƯỜNG HÀNG TRỐNG",1
19,"XÃ TIÊN PHONG",2
20,"XÃ BA TRẠI",2
21,"XÃ YÊN BÀI",2
22,"XÃ KHÁNH THƯỢNG",2
23,"XÃ BA VÌ",2
24,"THỊ TRẤN TÂY ĐẰNG",2
25,"XÃ PHÚ CƯỜNG",2
26,"XÃ CỔ ĐÔ",2
27,"XÃ TẢN HỒNG",2
28,"XÃ VẠN THẮNG",2
29,"XÃ PHONG VÂN",2
30,"XÃ PHÚ ĐÔNG",2
