"DISTRICT_ID","DISTRICT_NAME","PROVINCE_ID"
473,"HUYỆN SƠN HÒA",41
474,"HUYỆN SÔNG HINH",41
475,"THÀNH PHỐ NHA TRANG",42
476,"HUYỆN NINH HÒA",42
477,"HUYỆN KHÁNH SƠN",42
478,"THÀNH PHỐ CAM RANH",42
479,"HUYỆN DIÊN KHÁNH",42
480,"HUYỆN KHÁNH VĨNH",42
481,"HUYỆN TRƯỜNG SA",42
482,"HUYỆN CAM LÂM",42
483,"HUYỆN VẠN NINH",42
484,"HUYỆN ĐẮK HÀ",43
485,"HUYỆN SA THẦY",43
486,"HUYỆN TU MƠ RÔNG",43
487,"HUYỆN KON PLÔNG",43
488,"THÀNH PHỐ KON TUM",43
489,"HUYỆN ĐẮK TÔ",43
490,"HUYỆN NGỌC HỒI",43
491,"HUYỆN KON RẪY",43
492,"HUYỆN ĐẮK GLEI",43
493,"HUYỆN IA H'DRAI",43
494,"HUYỆN CHƯ PRÔNG",44
495,"HUYỆN KRÔNG PA",44
496,"HUYỆN PHÚ THIỆN",44
497,"THÀNH PHỐ PLEIKU",44
498,"HUYỆN ĐĂK ĐOA",44
499,"HUYỆN ĐĂK PƠ",44
500,"HUYỆN IA GRAI",44
501,"HUYỆN ĐỨC CƠ",44
502,"HUYỆN CHƯ SÊ",44
503,"HUYỆN KBANG",44
504,"HUYỆN KÔNG CHRO",44
505,"HUYỆN MANG YANG",44
506,"HUYỆN CHƯ PĂH",44
507,"HUYỆN IA PA",44
508,"HUYỆN CHƯ PƯH",44
509,"THỊ XÃ AN KHÊ",44
510,"THỊ XÃ AYUN PA",44
511,"HUYỆN KRÔNG BÚK",45
512,"HUYỆN KRÔNG NĂNG",45
513,"THỊ XÃ BUÔN HỒ",45
514,"HUYỆN EA KAR",45
515,"THÀNH PHỐ BUÔN MA THUỘT",45
516,"HUYỆN KRÔNG A NA",45
517,"HUYỆN LẮK",45
518,"HUYỆN CƯ M'GAR",45
519,"HUYỆN BUÔN ĐÔN",45
520,"HUYỆN EA SÚP",45
521,"HUYỆN KRÔNG BÔNG",45
522,"HUYỆN M'ĐRẮK",45
523,"HUYỆN EA H'LEO",45
524,"HUYỆN CƯ KUIN",45
525,"HUYỆN KRÔNG PẮK",45
526,"HUYỆN LẠC DƯƠNG",46
527,"HUYỆN BẢO LÂM",46
528,"HUYỆN CÁT TIÊN",46
529,"HUYỆN DI LINH",46
530,"HUYỆN ĐẠ HUOAI",46
531,"HUYỆN LÂM HÀ",46
532,"THÀNH PHỐ ĐÀ LẠT",46
533,"HUYỆN ĐẠ TẺH",46
534,"HUYỆN ĐAM RÔNG",46
535,"THỊ XÃ BẢO LỘC",46
536,"HUYỆN ĐƠN DƯƠNG",46
537,"HUYỆN ĐỨC TRỌNG",46
219,"HUYỆN BẮC HÀ",20
220,"HUYỆN SI MA CAI",20
221,"HUYỆN BẢO YÊN",20
222,"HUYỆN BẢO THẮNG",20
223,"HUYỆN CHỢ MỚI",21
224,"HUYỆN CHỢ ĐỒN",21
225,"HUYỆN NGÂN SƠN",21
226,"THỊ XÃ BẮC KẠN",21
227,"HUYỆN NA RÌ",21
228,"HUYỆN BẠCH THÔNG",21
229,"HUYỆN BA BỂ",21
230,"HUYỆN PẮC NẶM",21
231,"HUYỆN VĂN QUAN",22
232,"HUYỆN HỮU LŨNG",22
233,"HUYỆN CHI LĂNG",22
234,"HUYỆN BẮC SƠN",22
235,"HUYỆN VĂN LÃNG",22
236,"HUYỆN LỘC BÌNH",22
237,"HUYỆN CAO LỘC",22
238,"HUYỆN ĐÌNH LẬP",22
239,"HUYỆN BÌNH GIA",22
240,"THÀNH PHỐ LẠNG SƠN",22
241,"HUYỆN TRÀNG ĐỊNH",22
242,"THỊ XÃ TUYÊN QUANG",23
243,"HUYỆN YÊN SƠN",23
244,"HUYỆN SƠN DƯƠNG",23
245,"HUYỆN CHIÊM HÓA",23
246,"HUYỆN NÀ HANG",23
247,"HUYỆN LÂM BÌNH",23
248,"HUYỆN HÀM YÊN",23
249,"HUYỆN VĂN CHẤN",24
250,"HUYỆN VĂN YÊN",24
251,"HUYỆN YÊN BÌNH",24
252,"HUYỆN TRẠM TẤU",24
253,"HUYỆN LỤC YÊN",24
254,"THỊ XÃ NGHĨA LỘ",24
255,"HUYỆN MÙ CĂNG CHẢI",24
256,"HUYỆN TRẤN YÊN",24
257,"THÀNH PHỐ YÊN BÁI",24
258,"HUYỆN PHỔ YÊN",25
259,"HUYỆN PHÚ LƯƠNG ",25
260,"HUYỆN VÕ NHAI",25
261,"THÀNH PHỐ THÁI NGUYÊN",25
262,"HUYỆN PHÚ BÌNH",25
263,"HUYỆN ĐỒNG HỶ",25
264," HUYỆN ĐẠI TỪ",25
265,"HUYỆN ĐỊNH HÓA",25
266,"THỊ XÃ SÔNG CÔNG",25
267,"THI XÃ PHÚ THỌ",26
268,"HUYỆN THANH BA",26
269,"THÀNH PHỐ VIỆT TRÌ",26
270,"HUYỆN ĐOAN HÙNG",26
271,"HUYỆN THANH THỦY",26
272,"HUYỆN THANH SƠN",26
273,"HUYỆN TÂN SƠN",26
274,"HUYỆN YÊN LẬP",26
275,"HUYỆN CẨM KHÊ",26
276,"HUYỆN TAM NÔNG",26
277,"HUYỆN LÂM THAO",26
278,"HUYỆN HẠ HÒA",26
279,"HUYỆN PHÙ NINH",26
280,"THÀNH PHỐ BẮC GIANG",27
281,"HUYỆN HIỆP HÒA",27
282,"HUYỆN VIỆT YÊN",27
283,"HUYỆN YÊN THẾ",27
284,"HUYỆN LỤC NGẠN",27
285,"HUYỆN LẠNG GIANG",27
286,"HUYỆN TÂN YÊN",27
287,"HUYỆN LỤC NAM",27
288,"HUYỆN SƠN ĐỘNG",27
289,"HUYỆN YÊN DŨNG",27
290,"HUYỆN TIÊN YÊN",28
291,"THỊ XÃ UÔNG BÍ",28
292,"THỊ XÃ QUẢNG YÊN",28
293,"HUYỆN ĐÔNG TRIỀU",28
294,"HUYỆN BA CHẼ",28
295,"HUYỆN BÌNH LIÊU",28
296,"HUYỆN ĐẦM HÀ",28
297,"HUYỆN VÂN ĐỒN",28
298,"THỊ XÃ CẨM PHẢ",28
299,"HUYỆN CÔ TÔ",28
300,"THỊ XÃ MÓNG CÁI",28
301,"HUYỆN HẢI HÀ",28
302,"THÀNH PHỐ HẠ LONG",28
